pembayaran;transaksi;tanggal_byr;customer;bayar;potongan
032851/BP/22;307280-JL0122;01/10/22 17:06;PL0601 PATABA;84000;,00
032851/BP/22;307301-JL0122;01/10/22 17:06;PL0601 PATABA;2500;,00
032852/BP/22;307349-JL0122;01/10/22 17:06;PL0416 ALTERNATIF;70000;,00
032853/BP/22;307159-JL0122;01/10/22 17:07;PL0672 JM PRINTING;10000;,00
032854/BP/22;307223-JL0122;01/10/22 17:07;PL0671 MECCA PRINTING;100000;,00
032855/BP/22;307264-JL0122;01/10/22 17:07;PL0425 CENDANA GRAFIKA;82500;,00
032856/BP/22;303990-JL1221;01/10/22 17:15;UM UMUM;165000;,00
032856/BP/22;307166-JL0122;01/10/22 17:15;UM UMUM;82500;,00
032856/BP/22;307169-JL0122;01/10/22 17:15;UM UMUM;16000;,00
032856/BP/22;304628-JL1221;01/10/22 17:15;UM UMUM;550000;,00
032856/BP/22;307161-JL0122;01/10/22 17:15;UM UMUM;50000;,00
032856/BP/22;307172-JL0122;01/10/22 17:15;UM UMUM;5000;,00
032856/BP/22;305241-JL1221;01/10/22 17:15;UM UMUM;2425000;,00
032856/BP/22;307176-JL0122;01/10/22 17:15;UM UMUM;12500;,00
032856/BP/22;307184-JL0122;01/10/22 17:15;UM UMUM;50000;,00
032856/BP/22;306309-JL1221;01/10/22 17:15;UM UMUM;650000;,00
032856/BP/22;307192-JL0122;01/10/22 17:15;UM UMUM;1500;,00
032856/BP/22;307198-JL0122;01/10/22 17:15;UM UMUM;186500;,00
032856/BP/22;307006-JL1221;01/10/22 17:15;UM UMUM;495000;,00
032856/BP/22;307218-JL0122;01/10/22 17:15;UM UMUM;540000;,00
032856/BP/22;307246-JL0122;01/10/22 17:15;UM UMUM;125000;,00
032856/BP/22;307133-JL1221;01/10/22 17:15;UM UMUM;30000;,00
032856/BP/22;307266-JL0122;01/10/22 17:15;UM UMUM;65000;,00
032856/BP/22;307283-JL0122;01/10/22 17:15;UM UMUM;65000;,00
032856/BP/22;302028-JL1121;01/10/22 17:15;UM UMUM;550000;,00
032856/BP/22;307183-JL0122;01/10/22 17:15;UM UMUM;3228000;,00
032856/BP/22;307294-JL0122;01/10/22 17:15;UM UMUM;15000;,00
032856/BP/22;307302-JL0122;01/10/22 17:15;UM UMUM;300000;,00
032856/BP/22;307148-JL0122;01/10/22 17:15;UM UMUM;7500;,00
032856/BP/22;307334-JL0122;01/10/22 17:15;UM UMUM;6000;,00
032856/BP/22;307364-JL0122;01/10/22 17:15;UM UMUM;140000;,00
032857/BP/22;307177-JL0122;01/10/22 19:54;UM UMUM;30000;,00
032857/BP/22;307189-JL0122;01/10/22 19:54;UM UMUM;10000;,00
032857/BP/22;307212-JL0122;01/10/22 19:54;UM UMUM;65000;,00
032857/BP/22;307258-JL0122;01/10/22 19:54;UM UMUM;166500;,00
032857/BP/22;307284-JL0122;01/10/22 19:54;UM UMUM;15000;,00
032857/BP/22;307286-JL0122;01/10/22 19:54;UM UMUM;75000;,00
032857/BP/22;307315-JL0122;01/10/22 19:54;UM UMUM;48000;,00
032857/BP/22;307316-JL0122;01/10/22 19:54;UM UMUM;49000;,00
032857/BP/22;307317-JL0122;01/10/22 19:54;UM UMUM;15000;,00
032857/BP/22;307319-JL0122;01/10/22 19:54;UM UMUM;30000;,00
032857/BP/22;307323-JL0122;01/10/22 19:54;UM UMUM;30000;,00
032857/BP/22;307332-JL0122;01/10/22 19:54;UM UMUM;61500;,00
032857/BP/22;307371-JL0122;01/10/22 19:54;UM UMUM;37500;,00
032857/BP/22;307365-JL0122;01/10/22 19:54;UM UMUM;12000;,00
032858/BP/22;307355-JL0122;01/10/22 19:55;PL0425 CENDANA GRAFIKA;104500;,00
032859/BP/22;307401-JL0122;01/10/22 19:55;PL0319 ETO LOSARI;9000;,00
032860/BP/22;307265-JL0122;01/10/22 19:55;PL0025 BPS SIGI - PAK JEFRY;90000;,00
032861/BP/22;307389-JL0122;01/10/22 19:57;UM UMUM;150000;,00
032862/BP/22;307495-JL0122;01/11/22 17:10;PL0601 PATABA;5000;,00
032863/BP/22;307404-JL0122;01/11/22 17:10;PL0672 JM PRINTING;100000;,00
032863/BP/22;307472-JL0122;01/11/22 17:10;PL0672 JM PRINTING;228000;,00
032864/BP/22;307425-JL0122;01/11/22 17:10;PL0671 MECCA PRINTING;25000;,00
